time,animal_number,death_factor_0,death_factor_1,age_median,age_min,age_025,age_075,age_max,age_mean,age_std,gene_0_median,gene_0_min,gene_0_025,gene_0_075,gene_0_max,gene_0_mean,gene_0_std,gene_1_median,gene_1_min,gene_1_025,gene_1_075,gene_1_max,gene_1_mean,gene_1_std
0,25000,-50,0.0,19.0,0,10.0,29.0,39,19.46848,11.501028062290779,0.5011627633121969,9.944370330661201e-05,0.2537489086594855,0.7509188720609462,0.9999707269617887,0.5015087460911798,0.2880947956151626,0.5007949601032333,3.497083173675808e-05,0.2507170433468987,0.7489917614399657,0.9999787300607512,0.49996923753948913,0.28794322880677525
1,23628,-50,0.0,16.0,0,5.0,28.0,40,17.087184696123245,12.97080429228433,0.5006462993740322,-0.09677969990868403,0.2545671284471742,0.7503057576827034,1.0939578642109165,0.5012981145261183,0.2945405332684654,0.5085117553557603,-0.09734676861011199,0.2558729927529468,0.7556851905630197,1.0973124882726442,0.5061543661530075,0.29423312165272425
2,22404,-50,0.0,13.0,0,1.0,27.0,41,15.039546509551865,13.62831551707367,0.5033554873417658,-0.1837622575415663,0.25045101377136103,0.7511685347861261,1.1862756244375088,0.5022908317432813,0.3013382119706046,0.5152134536846367,-0.1827547085955711,0.2613891004408818,0.7596938585079038,1.1738745662372827,0.5111817337514993,0.29934187888028774
3,21591,-50,0.0,8.0,0,1.0,25.0,42,13.353017460979112,13.814731338338131,0.5013769827067587,-0.24004967099762495,0.25194770334544475,0.7538634841466292,1.2737805411753045,0.5019168199009747,0.3080047440371795,0.5222880138222615,-0.2725094393258849,0.2703922459205417,0.7644938147270903,1.2534312179939353,0.516519871290981,0.3043557608719517
4,20832,-50,0.0,3.0,0,1.0,23.0,43,11.969566052227343,13.69940892730846,0.5007346770271102,-0.3139995221382994,0.2494776962651777,0.753953100171108,1.3288064882789492,0.5019625512800043,0.3126583844979905,0.5329522503126292,-0.31929031666826063,0.281308109744399,0.7692706565444012,1.276004276342384,0.5235026412765517,0.30750104942062173
5,20205,-50,0.0,3.0,0,1.0,20.0,44,10.83330858698342,13.420329740731445,0.501489854622263,-0.4004302857296368,0.24798983301947491,0.7530340717698303,1.3415986973528884,0.5021008582324094,0.31979750622784403,0.5397590820223928,-0.3628160991345616,0.28852571347036093,0.7757837670830777,1.3198632267685335,0.5301070626332652,0.3117748086994846
6,19729,-50,0.0,3.0,0,1.0,16.0,45,9.884282021389833,13.033137769094894,0.5060216413088808,-0.42527544543623386,0.2499405735571921,0.7571494021205457,1.422372951657989,0.5041287869528182,0.32480624321140916,0.5455462769245252,-0.3806250996234967,0.29574573535506277,0.78324230585731,1.3676698250697286,0.5358901118728108,0.31643337684449613
7,19417,-50,0.0,3.0,0,1.0,11.0,46,9.0642220734408,12.579530003876258,0.5101565672722608,-0.4178054552593824,0.2505400388133431,0.759389020723376,1.4065940101965344,0.5053888405060053,0.32977282675562186,0.5553112379903116,-0.39812668756159647,0.3017998664804364,0.7952247409159141,1.387468509651899,0.5441997485811911,0.32175508288100296
8,19212,-50,0.0,3.0,0,1.0,7.0,47,8.355090568394754,12.048399800581565,0.5095401024877775,-0.45788185158349254,0.2481104204418263,0.7591026241721435,1.4327892463550198,0.504032037097967,0.33403487151058386,0.5666138792033699,-0.47689133809302625,0.307486345946811,0.8021711459646588,1.4297193747833823,0.5523484146788701,0.3251193163000303
9,19056,-50,0.0,3.0,0,1.0,7.0,48,7.802004617968094,11.55590480870804,0.5076397453284365,-0.5025190772124999,0.2488544386757567,0.7619754635822424,1.443835574535603,0.5049609962022834,0.33900803054825945,0.5715074061075476,-0.458956417493793,0.31235529345863866,0.8101572258332124,1.5154295052116187,0.5575375602578003,0.3299334359605525
