time,animal_number,death_factor_0,death_factor_1,age_median,age_min,age_025,age_075,age_max,age_mean,age_std,gene_0_median,gene_0_min,gene_0_025,gene_0_075,gene_0_max,gene_0_mean,gene_0_std,gene_1_median,gene_1_min,gene_1_025,gene_1_075,gene_1_max,gene_1_mean,gene_1_std
0,25000,-50,0.0,20.0,0,9.0,30.0,39,19.50832,11.532327205625064,0.49399992628451106,1.9770337603586263e-05,0.24587040235667057,0.7494975980184689,0.9999751598858841,0.4978271368445822,0.28936229330115265,0.5014167400556785,5.3006342394246175e-06,0.2518760276250146,0.7538116639715488,0.9999459207441359,0.5014787996843321,0.2889743453308673
1,23514,-50,0.04894348370484647,16.0,0,5.0,29.0,40,17.071787020498427,13.004714541363354,0.4927285869999152,-0.09477006529007004,0.24548084189409763,0.7464948395054447,1.0936368044773197,0.4959198605473583,0.29485178080554253,0.508265702076388,-0.09570692081753379,0.2581340345768539,0.7590976813597143,1.0978996490350565,0.5060609039905848,0.2948297851206123
2,22347,-50,0.19098300562505255,13.0,0,1.0,27.0,41,15.049850091734909,13.650451675280852,0.48616439405253353,-0.1825819143320645,0.2398663189305269,0.7385518221297174,1.1852868155797658,0.49071454335634596,0.29947580434590687,0.5159847785105184,-0.1794963590759448,0.2632405680178876,0.7623100752113419,1.1866551974037534,0.511717771359778,0.2992893022136003
3,21142,-50,0.41221474770752686,8.0,0,1.0,25.0,42,13.382035758206413,13.838380354790937,0.4847043134702358,-0.2597037352402065,0.24106335220308756,0.7375687308702356,1.246932091891326,0.4900617888656273,0.3035627713167848,0.5256336705716129,-0.2565610761670295,0.27550163276990647,0.7679278024642588,1.2203223986571454,0.5186433067187495,0.3041801724170155
4,19912,-50,0.6909830056250525,3.0,0,1.0,23.0,43,11.94967858577742,13.70419353875144,0.48293138086217957,-0.3091719471806383,0.24033001657712727,0.7411859925994823,1.2587298989834965,0.49036054364084286,0.3095085391835112,0.5350547194193181,-0.2633483578162623,0.2803664469412399,0.7745352236190084,1.2983702847909029,0.5255470517418454,0.30780290463488286
5,18474,-50,0.9999999999999999,3.0,0,1.0,19.0,44,10.741149723936344,13.36841528883005,0.4834050974922102,-0.3303022763445952,0.24021785542131974,0.745650097834709,1.316701388007065,0.49060708633876554,0.3154149469512455,0.5518254518938297,-0.31939830283067455,0.29280893014476844,0.7835038701397009,1.322603231961718,0.5369931346250356,0.3130219275461221
6,16651,-50,1.3090169943749475,3.0,0,1.0,15.0,45,9.787280043240646,12.959439146583614,0.48440063093240115,-0.37199290016203096,0.2394242673046759,0.7446438667442135,1.3086217853375617,0.49178122516929734,0.319381503316883,0.5655104629520701,-0.33612446217025854,0.30996920514555104,0.7935462518864236,1.3733336156925906,0.5488188365727102,0.31731411640867135
7,14532,-50,1.587785252292473,3.0,0,1.0,10.0,46,8.866776768510872,12.41574433500572,0.48589529417257005,-0.4283123384777705,0.23732973264964938,0.7416612029334813,1.388651570644227,0.4903346934554438,0.32444200357034764,0.5846871666924776,-0.394999935453573,0.33780192672626635,0.8084894854785936,1.4340260883345184,0.5669278721324028,0.31845370198324413
8,12219,-50,1.8090169943749475,3.0,0,1.0,7.0,47,8.25042965872821,11.966493326676105,0.4837103544763757,-0.4484709548207787,0.2387922137690159,0.7449606929647703,1.418466141761069,0.48939705678027423,0.32799777127316226,0.6091189433207482,-0.4123494369695374,0.36290600099439074,0.8280902642584571,1.4726262898721152,0.5897349467412057,0.3183901717492391
9,9990,-50,1.9510565162951536,3.0,0,1.0,7.0,48,7.681481481481481,11.410365631795445,0.4832851508302277,-0.41840974512864915,0.23794857869536135,0.7391412206820223,1.4454451040470875,0.488331432354584,0.33145485814413866,0.636605054788422,-0.43177145287412544,0.3946847713301303,0.8510683817741856,1.4991373181596561,0.6152013664194586,0.3171023362212961
10,8022,-50,2.0,3.0,0,1.0,7.0,49,7.2673896783844425,10.912090926555383,0.4837456444371617,-0.4351419719077297,0.2381705998925831,0.7405531167029767,1.5046030094835834,0.48805029824737045,0.33412033009225284,0.6693432718509853,-0.43302461717011936,0.44145919536734174,0.8777058542184261,1.5545672651293858,0.6483003861733829,0.31046723060945386
11,6502,-50,1.9510565162951536,3.0,0,1.0,7.0,50,6.919870808981852,10.488258970714355,0.4800503610267212,-0.4848267370526188,0.23606093984155965,0.7378017541364551,1.4942560496448314,0.4852201715664761,0.34066242213634135,0.7028723483351483,-0.4600043035942404,0.46515519172085995,0.9063541670105904,1.4768522691406678,0.6774196477324609,0.3129280164417243
12,5438,-50,1.8090169943749475,3.0,0,1.0,7.0,51,6.66954762780434,10.089405200230582,0.4828234797231438,-0.5351638180550014,0.22855611632718673,0.7527293763143329,1.4689231392030724,0.48983653102546076,0.35014810543383335,0.7327078397142378,-0.362507398332777,0.5046642159647349,0.9330114705215861,1.535179509672218,0.7072851908284044,0.30855896853161063
13,4850,-50,1.5877852522924734,3.0,0,1.0,7.0,52,6.395463917525773,9.64426543146836,0.47993384852505316,-0.5997433847463376,0.22021594084413434,0.7545901831030347,1.5344124878061274,0.4859357601595878,0.3593755992720129,0.7492088610855063,-0.29571008210727545,0.5194638110766658,0.9527998142285127,1.5481106587600975,0.724832112631493,0.3087562114743014
14,4476,-50,1.3090169943749475,3.0,0,1.0,7.0,53,6.171581769436997,9.19674031599881,0.47961723726127814,-0.6183031661207079,0.21314450986282973,0.7502893436654884,1.5398417914002118,0.481961020406828,0.36030805144833544,0.7702849664172233,-0.34394169089992,0.5435284788123189,0.9690447131770065,1.5777423809794036,0.7463807565945881,0.3072995144118789
15,4430,-50,1.0000000000000002,3.0,0,1.0,7.0,54,6.009480812641083,8.838270999900972,0.4772988376929468,-0.5913362442232565,0.21408153948673328,0.7523953845843536,1.4911263541821835,0.4808670165081076,0.36691852660976304,0.7834478096489912,-0.3568949616219978,0.5597565951731944,0.9762921764490959,1.6687848938468066,0.7566352899533882,0.30690532430184453
16,4531,-50,0.6909830056250528,3.0,0,1.0,7.0,55,5.777753255352019,8.354393718300804,0.4801805881567376,-0.6857711090608488,0.22054084326809098,0.7528555534470562,1.5204656785518351,0.48520477483548136,0.37059745768767066,0.7852829743448514,-0.44636365141936374,0.5707327106916316,0.9772257274904491,1.603584683167395,0.7634625221888731,0.307454391899295
17,4790,-50,0.4122147477075271,3.0,0,1.0,7.0,56,5.660960334029228,7.998791656949613,0.47375262380389793,-0.6345710473872223,0.21817426863774614,0.7578157779833204,1.5576878526935511,0.4831436352468563,0.3725220546805553,0.7956012745723278,-0.454942516316743,0.5637695587977334,0.9877901342932434,1.6553061469530448,0.7677812289825328,0.3122661231108637
18,5214,-50,0.19098300562505266,3.0,0,1.0,7.0,57,5.609512850019179,7.8423643738674,0.47381321014537237,-0.6160206676527903,0.20898389948188104,0.7717770828413415,1.541391339560677,0.48560446121811657,0.38115036983220746,0.802020886150425,-0.43886509346466096,0.5698864829745934,0.9996583892916543,1.7443628637690298,0.7752998285704424,0.3198288966040136
19,5719,-50,0.04894348370484647,3.0,0,1.0,7.0,58,5.488197237279245,7.526661282405753,0.4792730818578176,-0.6686515168673085,0.2186415384173127,0.7765080037885338,1.6107548705444648,0.4858226617918052,0.3853877516282184,0.8085320102326711,-0.4751865588860297,0.573747502163501,1.0107327905109542,1.7363332259396893,0.784875934353507,0.3228492784129987
20,6307,-50,0.0,3.0,0,1.0,7.0,59,5.375931504677343,7.234148911986862,0.47866207376870235,-0.6621045488965556,0.2109877860993114,0.7719738961865614,1.6205493694908393,0.48362867878883864,0.39116697291186003,0.8105434622342373,-0.4505126503230349,0.5809255781949161,1.0151148531141194,1.744908488114036,0.7913392179689653,0.32466950229722036
21,6978,-50,0.04894348370484636,3.0,0,1.0,7.0,60,5.29664660361135,6.9544843527447515,0.48104005372214165,-0.7274287954205012,0.20689213214458985,0.7786188500000362,1.6664673681078848,0.48547255661857375,0.39756343808621236,0.8117391279524215,-0.5190518663145581,0.581308035096268,1.0224763726649013,1.7729106858448827,0.7946123041566243,0.32732449776033523
22,7627,-50,0.19098300562505244,3.0,0,1.0,7.0,61,5.276255408417464,6.843862900540764,0.4815367516010272,-0.7449205375265879,0.20258455773330325,0.7787655052689234,1.6052601049323474,0.48484812511018294,0.4023901473106426,0.8127046346139934,-0.5985741777362411,0.5805206161751093,1.0286704464406957,1.8013950282873248,0.7980476323730897,0.33204162601034676
23,8206,-50,0.41221474770752664,3.0,0,1.0,7.0,62,5.2416524494272485,6.662284517933937,0.4890147452847556,-0.7718416514585131,0.21125175693489812,0.7953422675240606,1.6661362214009776,0.4922183225645698,0.40765104871292857,0.8174512211270972,-0.5907649673875025,0.583044754842017,1.0309339546795206,1.7602349610232555,0.8012363686864087,0.3328630074302886
24,8612,-50,0.6909830056250523,3.0,0,1.0,7.0,63,5.210171853228054,6.499773022455047,0.48856701897001387,-0.8124222247920818,0.19987309434477166,0.7939552027449341,1.7376033398746453,0.49131834663802265,0.4139767867708635,0.819739987481922,-0.6863859153340998,0.5914339865649043,1.0422813945197897,1.7983244494262298,0.8089469118434208,0.33415216268923603
25,8936,-50,0.9999999999999997,3.0,0,1.0,7.0,64,5.195725156669651,6.430614764989857,0.4911860084705242,-0.8150432608619187,0.20474338554654947,0.8000635183502383,1.7447489144909671,0.49350079785966366,0.41696763419199845,0.8304222622405641,-0.6290471508310441,0.5974851886441755,1.0541192794836332,1.8065271681917325,0.8172076357837043,0.3388272387613791
26,8913,-50,1.309016994374947,3.0,0,1.0,7.0,65,5.178166722764502,6.3347569178777325,0.49561564774621714,-0.8754850172077325,0.2013195026208561,0.8042999244436367,1.8310449840965302,0.4957885072338105,0.4213884584741799,0.8431011438357064,-0.6641725366560751,0.5986119056304846,1.0648790493680003,1.8865422563918517,0.8277067827123942,0.3399955687692406
27,8613,-50,1.587785252292473,3.0,0,1.0,7.0,66,5.136886102403344,6.264976124690565,0.4996912103336194,-0.9315990920363121,0.1951801719366727,0.8044673452402753,1.8762676314875475,0.4941272892208905,0.4275381098446179,0.8573329063935661,-0.6755703064675287,0.6157272054184725,1.085652609362507,1.9341768466479952,0.8438568675127088,0.3433807183452195
